title,isbn_10,isbn_13,amazon_url
Jabberwalking,763692646,978-0763692643,https://www.amazon.com/Jabberwalking-Juan-Felipe-Herrera/dp/0763692646/ref=sr_1_83?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-83
Music to My Years,1501189204,,https://www.amazon.com/Music-to-My-Years-Cristela-Alonzo-audiobook/dp/B07QDBCSTT/ref=sr_1_90?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-90
Sabrina & Corina: Stories,052551130X,,https://www.amazon.com/Sabrina-Corina-audiobook/dp/B07P14WK64/ref=sr_1_88?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-88
My Books My Life,1938061640,978-1938061646,https://www.amazon.com/Books-Life-Alma-Flor-Ada/dp/1938061640/ref=sr_1_87?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-87
Brick by Brick,525517308,978-0525517306,https://www.amazon.com/Brick-Heidi-Sheffield/dp/0525517308/ref=sr_1_81?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-81
The Key from Spain: Flory Jagoda and Her Music,1541522192,978-1541522190,https://www.amazon.com/Key-Spain-Flory-Jagoda-Music/dp/1541522192/ref=sr_1_94?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-94
The Rebel Gift Box Set: 200 Tales of Extraordinary Women (Good Night Stories for Rebel Girls),997895837,978-0997895834,https://www.amazon.com/Good-Night-Stories-Rebel-Girls/dp/0997895837/ref=sr_1_86?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-86
Lost in the Never Woods,125031397X,978-1250313973,https://www.amazon.com/Lost-Never-Woods-Aiden-Thomas/dp/125031397X/ref=sr_1_82?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-82
Roxy the Unisaurus Rex Presents: Oh No! The Talent Show,1250758467,978-1250758460,https://www.amazon.com/Roxy-Unisaurus-Rex-Presents-Talent/dp/1250758467/ref=sr_1_91?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-91
Taking Children: A History of American Terror,0520343670,978-0520343672,https://www.amazon.com/Taking-Children-History-American-Terror/dp/0520343670/ref=sr_1_92?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-92
Sonia Sotomayor: A Judge Grows in the Bronx / La juez que crecio en el Bronx (Spanish and English Edition),1442403039,978-1442403031,https://www.amazon.com/Sonia-Sotomayor-crecio-Spanish-English/dp/1442403039/ref=sr_1_89?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-89
Tiny Polly: The story of a brave chicken,,,https://www.amazon.com/Tiny-Polly-story-brave-chicken-ebook/dp/B08SSHLP9J/ref=sr_1_93?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-93
A Field Guide to Getting Lost,1534438505,978-1534438507,https://www.amazon.com/Field-Guide-Getting-Lost/dp/1534438505/ref=sr_1_96?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-96
"Love Sugar Magic: A Dash of Trouble (Love Sugar Magic, 1)",62498479,978-0062498472,https://www.amazon.com/Love-Sugar-Magic-Dash-Trouble/dp/0062498479/ref=sr_1_95?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140834&s=books&sr=1-95
Sunshine Rain,1716206049,978-1716206047,https://www.amazon.com/Sunshine-Rain-Jonathan-Pena-Tabares/dp/1716206049/ref=sr_1_99?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-99
Camila the Baking Star (Camila the Star),1515883183,978-1515883180,https://www.amazon.com/Camila-Baking-Star/dp/1515883183/ref=sr_1_101?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-101
Camila the Video Star (Camila the Star),1515883205,978-1515883203,https://www.amazon.com/Camila-Video-Star/dp/1515883205/ref=sr_1_109?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-109
Voices of Resistance: Interdisciplinary Approaches to Chican@ Children's Literature,1475834047,978-1475834048,https://www.amazon.com/Voices-Resistance-Laura-Alamillo/dp/1475834047/ref=sr_1_100?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-100
With the Fire on High,006266283X,978-0062662835,https://www.amazon.com/Fire-High-Elizabeth-Acevedo/dp/006266283X/ref=sr_1_97?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-97
Cuba in My Pocket,374314675,978-0374314675,https://www.amazon.com/Cuba-My-Pocket-Adrianna-Cuevas/dp/0374314675/ref=sr_1_98?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-98
Lupe Wong Won't Dance,1646140036,978-1646140039,https://www.amazon.com/Lupe-Dance-Donna-Barba-Higuera/dp/1646140036/ref=sr_1_102?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-102
Case Closed #1: Mystery in the Mansion,62676288,978-0062676283,https://www.amazon.com/Case-Closed-1-Mystery-Mansion/dp/0062676288/ref=sr_1_103?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-103
They Call Me Güero: A Border Kid's Poems,1947627066,978-1947627062,https://www.amazon.com/They-Call-Me-G%C3%BCero-Border/dp/1947627066/ref=sr_1_105?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-105
"Meet The Mermaids; Hi, I'm Sofia - Charming Mermaid Book & Childrens Book About Honesty - 32 Page Childrens Picture Book",1952694078,978-1952694073,https://www.amazon.com/Meet-Mermaids-Hi-Sofia-Childrens/dp/1952694078/ref=sr_1_106?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-106
"Curse of the Night Witch (Emblem Island, 1)",1728232449,978-1728232447,https://www.amazon.com/Curse-Night-Witch-Emblem-Island/dp/1728232449/ref=sr_1_104?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-104
The Greatest Adventure,1338134191,978-1338134193,https://www.amazon.com/Greatest-Adventure-Tony-Piedra/dp/1338134191/ref=sr_1_107?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-107
Guadalupe: First Words - Primeras Palabras (English and Spanish Edition),986109908,978-0986109904,https://www.amazon.com/Guadalupe-Primeras-Palabras-English-Spanish/dp/0986109908/ref=sr_1_112?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-112
Fearless (1) (Fearless Series),1534468951,978-1534468955,https://www.amazon.com/Fearless-1-Mandy-Gonzalez/dp/1534468951/ref=sr_1_108?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-108
Under Pressure: Confronting the Epidemic of Stress and Anxiety in Girls,399180079,978-0399180071,https://www.amazon.com/Under-Pressure-Confronting-Epidemic-Anxiety/dp/0399180079/ref=sr_1_110?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-110
"The Gumazing Gum Girl! Cover Blown (The Gumazing Gum Girl!, 4)",1368058094,978-1368058094,https://www.amazon.com/Gumazing-Girl-Cover-Blown-Novel/dp/1368058094/ref=sr_1_111?dchild=1&keywords=Latinx+Childrens+Books&qid=1620140844&s=books&sr=1-111
